;authors;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
297;matesanz r;0;1;0;0;0;0;1;1;0;0;0;3;0;0.47;0.27;1
298;mcnatt g;1;1;0;0;1;0;0;0;0;0;0;3;0;0.47;0.27;1
299;goldberg am;1;1;0;0;0;0;0;0;0;0;1;3;0;0.47;0.27;1
300;formica rn;0;0;0;0;0;0;1;1;1;0;0;3;0;0.47;0.27;1
301;lehmann ls;0;1;1;1;0;0;0;0;0;0;0;3;0;0.47;0.27;1
302;tinghog g;0;1;0;1;1;0;0;0;0;0;0;3;0;0.47;0.27;1
303;levine m;0;0;0;0;1;1;1;0;0;0;0;3;0;0.47;0.27;1
304;nau jy;0;0;0;0;1;0;2;0;0;0;0;3;0;0.65;0.27;2
305;lawlor m;1;1;0;0;1;0;0;0;0;0;0;3;0;0.47;0.27;1
306;baker t;1;1;0;0;0;1;0;0;0;0;0;3;0;0.47;0.27;1
307;zhang z;0;0;0;0;0;0;0;0;1;0;2;3;0;0.65;0.27;2
308;husain sa;0;0;0;0;0;0;0;0;1;1;1;3;0;0.47;0.27;1
309;axelrod d;1;0;1;0;0;0;0;1;0;0;0;3;0;0.47;0.27;1
310;biggins sw;1;0;1;0;0;0;0;0;0;0;1;3;0;0.47;0.27;1
311;chen j;0;0;1;0;0;0;0;1;0;0;1;3;0;0.47;0.27;1
312;stock p;0;0;0;0;0;0;0;0;0;1;2;3;0;0.65;0.27;2
