;lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
6216;2.7;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6217;2.82;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6218;sodium;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6219;transcription;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6220;8);0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.00641025641025641;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6221;ip;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6222;immunoassay;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6223;track;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6224;predefine;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6225;delicate;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6226;workload;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6227;1.49;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6228;dyad;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6229;contradict;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6230;222;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6231;52.6;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6232;0.69;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6233;55.6;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6234;interdependence;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6235;neurodegenerative;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.0;0.0;0.004149377593360996;0.0;0.0;0.010478491517411629;0.0;0.002268017710783561;0.0010478491517411628;0.006329113924050633
6236;8.3;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.004149377593360996;0.0;0.00641025641025641;0.010438685769461626;0.0;0.002257730317693621;0.0010438685769461626;0.006289308176100629
6237;resilient;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.004149377593360996;0.0;0.0;0.010438685769461626;0.0;0.002257730317693621;0.0010438685769461626;0.006289308176100629
6238;handful;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.004149377593360996;0.0;0.0;0.010438685769461626;0.0;0.002257730317693621;0.0010438685769461626;0.006289308176100629
6239;simon;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.004149377593360996;0.0;0.0;0.010438685769461626;0.0;0.002257730317693621;0.0010438685769461626;0.006289308176100629
